Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,USA,35,35201010,12573,HST GLOBAL INC,4.04E+206,6.188,0.339,0.27,0,,47.771,0.85,-0.213,2024
A,USD,USA,35,35201010,12711,CEL-SCI CORP,150837706,26.992,2.238,9.384,0,18.161,63.787,1.06,-26.92,2024
A,USD,USA,35,35201010,12713,ABEONA THERAPEUTICS INC,00289Y206,108.931,6.749,16.299,0,34.36,45.644,5.57,-63.734,2024
A,USD,USA,35,35201010,12717,ANIXA BIOSCIENCES INC,03528H109,21.591,0.029,0.203,0,6.396,32.195,3.5,-12.554,2024
A,USD,USA,35,35201010,12818,PERSPECTIVE THERAPEUTICS INC,46489V302,341.101,1.009,3.053,1.454,41.638,70.671,3.19,-79.279,2024
I,USD,USA,35,35103010,12874,ICAD INC,44934S206,37.54,0.229,0.133,19.608,6.609,26.354,1.83,-5.616,2024
A,USD,USA,35,35201010,13184,LADRX CORP,232828707,0.84,0,0,0,0.773,0.495,1.68,-1.59,2024
A,USD,USA,35,35201010,13235,IMMUCELL CORP,452525306,45.1,1.93,13.17,26.493,3.899,8.979,5.15,-2.157,2024
A,USD,USA,35,35201010,13484,SOLIGENIX INC,834223604,8.966,1.485,0,0.119,5.224,2.514,2.695,-8.267,2024
A,USD,USA,35,35202010,13721,ZOETIS INC,98978V103,14237,1402,5401,9261,686,448.473,162.93,2486,2024
A,USD,USA,35,35201010,13786,HERON THERAPEUTICS INC,427746102,233.147,3.037,174.726,144.285,16.683,152.128,1.53,-13.58,2024
I,USD,USA,35,35201010,13835,REGULUS THERAPEUTICS INC,75915K309,84.181,0.781,0.274,0,35.367,65.5,1.58,-46.358,2024
A,USD,ISR,35,35202010,14538,TEVA PHARMACEUTICALS,881624209,39326,1868,16299,16544,1055,1133.839,22.04,-1639,2024
A,USD,USA,35,35203010,14983,CHAMPIONS ONCOLOGY INC,15870P307,32.344,1.606,4.719,56.944,6.825,13.777,7.15,4.701,2024
A,USD,USA,35,35201010,15178,VITRO BIOPHARMA INC,928501303,5.089,5.331,3.281,1.856,0.618,4.461,,-9.874,2024
A,USD,USA,35,35203010,15414,BIO-TECHNE CORP,09073M104,2703.867,12.92,406.618,1159.06,96.664,158.216,71.65,168.105,2024
A,USD,USA,35,35201010,16101,ABBVIE INC,00287Y109,135161,6982,61037,56334,15548,1765.257,177.7,4278,2024
A,USD,USA,35,35201010,16269,ENANTA PHARMACEUTICALS INC,29251M106,376.652,35.986,188.722,67.635,131.476,21.194,10.36,-116.045,2024
A,USD,USA,35,35201010,16719,HARVARD APPARATUS REGE T INC,09074M202,4.442,0.348,0.199,0.43,2.31,15.919,2.98,-7.732,2024
A,USD,IRL,35,35201010,16745,PROTHENA CORPORATION PLC,G72800108,547.108,2.61,8.233,135.157,222.519,53.827,13.85,-122.31,2024
A,USD,USA,35,35201010,16848,TRAVERE THERAPEUTICS INC,89422G107,594.125,74.083,327.501,233.175,282.701,87.453,17.42,-321.545,2024
A,USD,USA,35,35201010,16947,ACTINIUM PHARMACEUTICALS INC,00507W206,76.899,0.58,0.993,0,30.045,31.196,1.26,-38.243,2024
A,USD,USA,35,35201010,17175,TUHURA BIOSCIENCES INC,898920103,19.967,0.16,0.043,0,13.335,42.324,4.09,-21.682,2024
A,USD,USA,35,35203010,17199,BIOLIFE SOLUTIONS INC,09062W204,399.487,12.454,17.72,82.254,7.912,46.907,25.96,-20.184,2024
A,USD,USA,35,35103010,17485,DARIOHEALTH CORP,23725P308,118.884,5.955,24.237,27.04,24.179,38.388,0.7861,-42.747,2024
I,USD,USA,35,35201010,17498,CHIMERIX INC,16934W106,146.008,0.719,0.458,0.212,74.574,92.209,3.48,-88.387,2024
A,USD,USA,35,35201010,17651,REZOLUTE INC,76200L309,132.737,0.568,1.66,0,55.743,53.246,4.3,-68.459,2024
