Active,Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Isin,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Net_Income,Shares_Out,Fyear
A,HKD,CYM,45,45301010,103936,ASMPT LIMITED,KYG0535Q1331,23673.337,513.053,4047.774,13229.079,2122.139,345.262,416.459,2024
A,HKD,BMU,45,45203020,103975,WONG'S INTL HOLDINGS LTD,BMG9738G1078,6158.836,744.212,876.43,2664.674,,-837.464,478.484,2024
A,MYR,MYS,45,45301020,104012,MALAYSIAN PACIFIC INDUS BHD,MYL3867OO008,2960.124,82.556,28.465,2094.386,42.493,164.399,198.93,2024
A,MYR,MYS,45,45301020,104199,DAGANG NEXCHANGE BHD,MYL4456OO009,4214.303,125.43,9.443,1174.019,,-50.361,3471.964,2024
A,TWD,TWN,45,45202030,104575,KWORLD COMPUTER CO LTD,TW0003287009,982.092,49.845,2.051,761.586,18.195,103.473,43.97,2024
A,KRW,KOR,45,45203015,104582,SAMSUNG SDI CO LTD,KR7006400006,40597344.54,6549699.486,5189919.938,16592248.88,1297611,586319.143,65.433,2024
A,KRW,KOR,45,45203015,104602,SAMSUNG ELECTRO-MECHANICS CO,KR7009150004,12792402.92,1580148.457,55859.009,10294102.98,666310,653340.831,72.694,2024
A,KRW,KOR,45,45202030,104604,SAMSUNG ELECTRONICS CO LTD,KR7005930003,514531948,15379794,3950390,300870903,35021531,29547625,5940.083,2024
A,AUD,AUS,45,45103010,253347,PATHKEY AI LTD,AU0000415291,0.412,0,0,0.398,0.276,-3.13,222.149,2024
A,GBP,GBR,45,45103010,104643,SAGE GROUP PLC,GB00B8C3BL03,3638,15,1231,2332,375,323,996.301,2024
A,EUR,NLD,45,45203010,104753,NEDAP NV,NL0000371243,137.382,0.988,14.756,251.606,51.035,18.527,6.589,2024
A,GBP,GBR,45,45103010,104796,PINEWOOD TECHNOLOGIES GROUP,GB00BSB7BS06,61.8,0.7,0.9,31.2,1.6,6.218,87.113,2024
A,HKD,BMU,45,45203010,104986,BOE VARITRONIX LTD,BMG1223L1054,11464.942,220.115,190.577,13448.506,284.16,391.282,791.575,2024
A,USD,HKG,45,45202030,107225,LENOVO GROUP LTD,HK0992009065,44230.812,1125.324,4607.634,69076.968,2288.204,1384.445,12404.659,2024
A,TWD,TWN,45,45203030,108411,SYNNEX TECH INTL CORP,TW0002347002,224967.305,66440.164,21159.746,426009.116,,9212.504,1667.947,2024
A,EUR,FRA,35,35201010,108564,TRANSGENE SA,FR0005175080,42.174,0.181,10.215,0.035,34.278,-33.971,131.934,2024
A,AUD,AUS,35,35201010,117116,KAZIA THERAPEUTICS LIMITED,,21.585,0.634,0,2.308,17.38,,,2024
A,HKD,BMU,45,45203015,120475,YEEBO INTL HOLDINGS LTD,BMG9835R1051,4274.191,17.396,0.935,1038.535,,2788.741,933.302,2024
A,USD,ISR,45,45201020,120860,AUDIOCODES LTD,IL0010829658,335.901,5.954,30.508,242.176,52.18,15.311,29.68,2024
A,USD,ISR,45,45103020,125074,RADWARE LTD,,618.676,4.75,13.519,274.88,74.765,,,2024
A,EUR,FRA,45,45201020,125863,VANTIVA SA,FR0013505062,1720,10,488,1865,86,-161,490.294,2024
A,USD,ISR,45,45301020,127114,METALINK LTD,IL0010837164,2.046,0,0,0,,0.078,1.256,2024
A,EUR,DEU,45,45301020,132740,INFINEON TECHNOLOGIES AG,DE0006231004,28639,573,4595,14955,2558,1751,1299.163,2024
A,USD,ISR,45,45301010,133564,CAMTEK LTD,IL0010952641,892.042,2.488,204.586,429.234,38.287,118.515,45.449,2024
A,USD,ISR,45,45301010,133905,NOVA LTD,IL0010845571,1390.422,187.733,48.363,672.396,117.712,183.762,29.278,2024
A,USD,ISR,45,45201020,138501,CERAGON NETWORKS LTD,IL0010851660,344.996,28.171,12.936,394.19,36.215,24.063,88.393,2024
A,USD,ISR,45,45103010,138521,MIND CTI LTD,IL0010851827,30.702,0.188,0.637,21.446,3.391,4.63,20.366,2024
A,EUR,DEU,35,35201010,138744,2INVEST AG,DE000A3H3L44,84.182,0,0,25.842,,22.159,5.515,2024
A,USD,ISR,35,35201010,138781,COMPUGEN LTD,IL0010852080,114.995,0.448,2.464,27.864,24.81,-14.231,89.541,2024
A,TWD,TWN,45,45202030,139461,GIGA BYTE TECHNOLOGY CO LTD,TW0002376001,111286.908,2088.975,18511.015,265148.779,4127.573,9788.54,669.889,2024
I,USD,IRL,45,45103010,140797,DATALEX PLC,IE0000527006,18.286,0.278,0.426,27.481,2.237,-10.226,188.154,2024
A,USD,CHE,45,45203010,141076,INFICON HOLDING AG,CH1431598916,527.985,44.278,0,670.954,52.197,112.753,2.444,2024
A,AUD,AUS,45,45103010,201025,PLATFORMO LTD,AU0000400137,1.78,0.014,0.012,0.76,,-0.386,94.908,2024
A,KRW,KOR,45,45301020,155511,POWER LOGICS CO LTD,KR7047310008,416082.37,60620.116,841.055,733444.025,15185.178,10835.21,36.611,2024
A,USD,CYM,45,45301020,158741,SEMICONDUCTOR MFG INTL CORP,KYG8020E1199,49161.248,3550.098,8045.899,8029.921,765.279,492.748,5987.791,2024
A,KRW,KOR,45,45203015,160739,LG DISPLAY CO LTD,KR7034220004,32859566,6523688,8084401,26615347,2237403,-2562606.43,500,2024
A,INR,IND,45,45103020,164289,MOSCHIP TECHNOLOGIES LTD,INE935B01025,4437.105,119.034,92.629,4668.419,,334.645,191.078,2024
A,INR,IND,35,35202010,165704,LYKA LABS LTD,INE933A01014,1762.06,193.55,198.989,1335.89,13.778,79.034,35.69,2024
A,INR,IND,35,35202010,166032,WANBURY LTD,INE107F01022,4139.172,177.19,1611.116,6001.798,,305.301,32.77,2024
A,USD,ISR,45,45103020,176021,ALLOT LTD,IL0010996549,139.641,0.562,45.78,92.195,27.707,-5.869,39.531,2024
A,CNY,CYM,45,45301020,176261,TRINA SOLAR CO LTD,CNE100003ZR0,123934.812,13780.802,33711.649,78813.829,1846.235,-3443.22,2165.874,2024
